Port,7,6,5,4,3,2,1,0
D,GPIO7,GPIO6,GPIO5,GPIO4,GPIO3,GPIO2,Tx,Rx
C,,RESET,SCL,SDA,ADC,ADC,ADC,ADC
B,SS,SS,SCK,MISO,MOSI,PWM,PWM,
,,,,,,,,
,,,,,,,,
Port,Bit,Job,MCU HW Function,,,,,
D,7,OUT7,AIN1,,,,,
D,6,OUT6,AIN0,OC0A,,,,
D,5,OUT5,T1,OC0B,,,,
D,4,OUT4,T0,XCK,,,,
D,3,OUT3,INT1,OC2B,,,,
D,2,OUT2,INT0,,,,,
D,1,UART,Tx,,,,,
D,0,,Rx,,,,,
C,6,RESET,RESET,,,,,
C,5,I2C,ADC5,SCL,,,,
C,4,,ADC4,SDA,,,,
C,3,Pressure,ADC3,,,,,
C,2,Voltage,ADC2,,,,,
C,1,IN1,ADC1,,,,,
C,0,IN0,ADC0,,,,,
B,7,OUT1,,,,,,
B,6,OUT0,,,,,,
B,5,SPI,SCK,,,,,
B,4,(AUX,MISO,,,,,
B,3,MCU),MOSI,,,About Job,,
B,2,Engine,SS,OC1B,,System use,,
B,1,OUT-PWM,OC1A,,,"Extension, user custom",,
B,0,,,,,Not used,,
